Model,VIGclust.,LIGclust.,VIGmod.,LIGmod.,VCGmod.,LCGmod.
Training,0.582,0.351,0.521,0.562,0.637,0.587
SAT-GEN,0.513,0.340,0.477,0.542,0.632,0.537
PS,0.818,0.616,0.678,0.732,0.832,0.588
CA,0.368,0.247,0.412,0.499,0.629,0.502
W2SAT,0.539,0.435,0.520,0.576,0.664,0.527
Training,0.428,0.357,0.469,0.538,0.784,0.719
SAT-GEN,0.397,0.331,0.433,0.524,0.695,0.607
PS,0.658,0.579,0.439,0.526,0.755,0.592
CA,0.234,0.120,0.401,0.454,0.601,0.525
W2SAT,0.429,0.356,0.458,0.543,0.718,0.558
Training,0.493,0.327,0.660,0.783,0.768,0.762
SAT-GEN,0.417,0.342,0.604,0.772,0.758,0.674
PS,0.562,0.467,0.718,0.776,0.860,0.624
CA,0.249,0.177,0.614,0.649,0.746,0.561
W2SAT,0.514,0.460,0.672,0.826,0.800,0.638
Training,0.609,0.341,0.716,0.717,0.787,0.719
SAT-GEN,0.470,0.321,0.671,0.707,0.754,0.649
PS,0.636,0.535,0.646,0.718,0.858,0.633
CA,0.185,0.119,0.700,0.711,0.762,0.610
W2SAT,0.543,0.448,0.705,0.728,0.767,0.609
Training,0.469,0.421,0.695,0.684,0.801,0.691
SAT-GEN,0.302,0.272,0.563,0.618,0.736,0.607
PS,0.504,0.426,0.832,0.869,0.912,0.663
CA,0.167,0.154,0.668,0.683,0.768,0.543
W2SAT,0.426,0.397,0.620,0.669,0.768,0.601